zgbh,icid
1364624   ,2048598224
1364888   ,2063965264
1364890   ,0967978475
1365192   ,2066054720
1365207   ,2066741920
1302105   ,4139155854
1302235   ,4140919406
1303307   ,2066357328
1304504   ,3530582814
1305267   ,4134919246
1306658   ,3731590670
1306962   ,3529690910
1308569   ,1780553515
1309362   ,4139665022
806802    ,3543966069
814123    ,1349503802
880641    ,3285458897
885576    ,3741911393
885921    ,3741705361
1332050   ,1789248251
1336572   ,1767163915
1340433   ,1767503579
1340648   ,0760363514
1341608   ,0756514682
861447    ,2465830736
H4530     ,3252159123
1344795   ,4287062046
1348098   ,1786667179
1350590   ,2066502528
1351992   ,2051254640
71879     ,3926184155
835782    ,2010103579
838936    ,0960562405
839159    ,0258224842
839229    ,0672651373
842271    ,1648860053
843261    ,2627110016
00039     ,3393346390
1281027   ,3926903611
1281029   ,3248034211
1281170   ,4134311534
1281966   ,1605276826
1281968   ,1605933674
897921    ,3038325946
901814    ,4130631582
902734    ,0313081418
903320    ,0313221658
905564    ,0311578202
YG5811    ,2674089739
1312796   ,1778760107
1319136   ,1798691913
1319383   ,4128955262
52152     ,2604735611
54176     ,3250704467
849426    ,3739384721
853521    ,2112791748
831106    ,3071757419
20075     ,1330438036
889839    ,1269479609
894200    ,1057807223
895957    ,3208262114
897359    ,2053028256
864491    ,1057624535
867217    ,2660860996
873941    ,3333571617
W0989     ,3036425402
1293535   ,2619794781
1366218   ,3531366398
1366430   ,1788920747
1366480   ,2064465776
1366580   ,2675658139
1366873   ,0874457291
1366944   ,2674660539
1367516   ,2052379616
1367650   ,2057127024
1367736   ,3731025118
1367766   ,2069040384
1368109   ,2051554784
1368543   ,2622702784
1369885   ,2623605424
1369892   ,3285663489
1371169   ,3742217131
1286131   ,4129177950
1287142   ,0757981882
1354450   ,2064487984
1358933   ,2066655408
1362400   ,3537387662
1362572   ,2052218816
1362588   ,2048569936
1362755   ,0578834482
1363317   ,2071108656
1363671   ,2582072647
1364009   ,          
1364020   ,          
1364027   ,          
1364153   ,0968608747
1364167   ,0872888363
1364185   ,3530680110
1364196   ,2582187463
1364244   ,1788848763
1364279   ,2049121200
1364286   ,2675451627
1365421   ,2669278859
1365640   ,2067652560
1301530   ,4140824718
1303030   ,4139179390
1304413   ,3502878170
1304789   ,4129088686
1306523   ,2062307440
38582     ,2945923970
