bh,kh
1372410,3559080464
1379025,4213876014
1372409,3558996784
1372412,3559792416
1379027,0358401973
1379042,1727448331
1379073,3310098570
1379076,3558967856
704158,3546424627
1398449,3552915383
727395,3070166240
530964,1726891499
10389 ,3251799252
1406722,4142075798
705734,4213209822
705735,4213117374
1389028,3560851952
1389029,3551296759
1389020,1299353891
1389030,3559862480
618187,2567373595
1389031,3550967911
1389033,3558962992
1389036,3559539184
651822,3317748796
1389050,3551639079
1389052,3937618816
705733,4213771518
1406723,4142976086
1406724,4156364118
1379077,3164906421
1406725,4142202070
1379079,3546242387
753941,3559553280
1406726,4142033974
1379078,3664892503
1379117,4213584302
1379118,3687054375
1406741,4142340470
1388979,3558115008
705755,4213198494
51892 ,0313258882
1388980,1289204163
1388982,3560498800
1388981,3550818359
1388983,3560373760
1388985,3560437168
461528,0862750704
1388987,3560449696
1388990,3558764944
1372345,3559608832
1390666,3937825968
668642,3994636818
1388999,3551215927
1389000,3937436432
1389002,3550920919
1389003,3560899152
1389006,3550772247
1389008,3560885680
749713,3276695984
749752,3559272304
522938,3995898306
628047,3994498354
57518 ,1021758203
749853,3559096432
715727,4213149262
47956 ,0526532059
690439,3546836419
749820,3559911104
1406847,4142297206
1406848,4142259638
702135,3996279570
1406849,4142966646
1406850,4142814006
1406851,4142080086
702319,3316656604
1406852,4141926406
705836,4213602862
562383,3453470907
1406894,4143077046
1406895,4143070726
1406896,4146991350
1406897,4142743990
1406898,4141927494
1406899,4142270662
692238,2744801068
1406900,4142466758
1406901,4141880086
1406902,4142579670
1406903,4142421334
1406904,4141907798
1406905,4142111254
1406906,4143058198
1406907,4142964070
1406908,4143080774
1383086,2567125515
322167,2567560011
733438,1529798164
1389012,3560430544
432302,3481910949
1389019,3937841136
704510,3319547452
516623,0313712882
724946,1300071235
1389024,3551335047
1383078,2911838747
1383120,4213777710
1383123,1727422507
523032,1499118850
