zgbh,icid
1969099   ,1768329467
1969106   ,1785198139
1969128   ,0338408353
1969135   ,1349419146
1969162   ,1781411131
1969194   ,0874803579
1969196   ,3535605182
1969203   ,2064271232
1969205   ,1789295259
1969230   ,2066378208
1969235   ,2622854272
1969237   ,0758522074
1969266   ,3072238267
1969290   ,3739862875
1969292   ,4033477025
1969299   ,2626143664
1969325   ,2052188848
1969327   ,2067405808
1969332   ,1787879083
1969334   ,0762203450
1969336   ,2660781700
1969351   ,1789750299
1969360   ,2051101008
1969410   ,0873745227
1969419   ,3527895374
1969442   ,2063020720
1969444   ,0779067607
1969449   ,0779739623
1969474   ,0778343687
1969476   ,0778105527
1969483   ,0778126535
1969485   ,0778953031
1969509   ,0480180059
1969511   ,1578005376
1969559   ,4131166926
1969591   ,2669769531
1969593   ,2051242704
1969625   ,2060199392
1969627   ,0066192695
1969650   ,0067216599
1969652   ,2061772992
1969657   ,2057999792
1969659   ,1790354907
1969682   ,1789139211
1969684   ,0779527767
1969689   ,0779320503
1969939   ,0768010359
1969941   ,2066210048
1969975   ,0875055467
1969980   ,1768567067
1969982   ,3740192385
1970007   ,0874630427
1970009   ,3208777202
1970014   ,1605760842
1970016   ,1768468411
1970041   ,0768021303
1970043   ,0978089435
1970050   ,2062304880
1970052   ,0768118551
1970106   ,1789569195
1970108   ,1785573243
09339     ,3037009146
6895      ,2064672768
7923      ,2062974384
840426    ,2624283312
841775    ,1789962859
843519    ,3036739738
1293578   ,2672558251
1300741   ,2671469147
1369872   ,2673730475
1371064   ,4129381918
1953201   ,1780871419
1956568   ,2676679323
1957986   ,4138906782
889102    ,0341986353
890064    ,0338606673
890655    ,1790506923
892246    ,3175340356
1354186   ,0873689531
1365009   ,3149387186
1365625   ,0029599712
7653      ,0965115643
833753    ,0777713525
1353213   ,2062289392
57683     ,4195709102
853597    ,4198243287
1970113   ,2627086880
1970140   ,3530833902
1970212   ,0758658644
1970214   ,0164052592
1970237   ,3740109841
1970246   ,2579851927
1970280   ,1707001655
1970305   ,1800677722
1970307   ,2065990640
1970314   ,0486572987
1970316   ,2058378080
1970398   ,2061923008
1970579   ,3531398862
