08:16:12:6567712 Emp Update Insert===================
08:16:16:2029740 -->Query 111ClassSum:39674
08:16:20:6842303 -->Query ProgressEmpClassSum:39722
08:17:57:5157688 Emp Update Insert===================
08:18:00:4939391 -->Query 111ClassSum:39674
08:18:04:6411763 -->Query ProgressEmpClassSum:39722
08:21:11:1638448 -->insert111_EmpClassError,Rollback :索引超出范围。必须为非负值并小于集合大小。
参数名: index
08:27:04:6470629 Emp Update Insert===================
08:27:07:1432057 -->Query 111ClassSum:39674
08:27:11:3194445 -->Query ProgressEmpClassSum:39722
08:27:13:7985863 128361
08:27:13:8025866 128364
08:27:13:8195875 128366
08:27:13:8235878 128369
08:27:13:8265879 128370
08:27:13:8295881 128371
08:27:13:8325883 128372
08:27:13:8375886 128373
08:27:13:8405887 128375
08:27:13:8435889 128380
08:27:13:8475891 128381
08:27:13:8675903 128382
08:27:13:8705905 128387
08:27:13:8735906 128388
08:27:13:8755907 128389
08:27:13:8785909 128390
08:27:13:8805910 128392
08:27:13:8835912 128394
08:27:13:8875914 128395
08:27:13:8895915 128396
08:27:13:8925917 128401
08:27:13:8955919 128402
08:27:13:8985921 128403
08:27:13:9015922 128404
08:27:13:9035923 128405
08:27:13:9065925 128406
08:27:13:9095927 128410
08:27:13:9115928 128412
08:27:13:9155930 128414
08:27:13:9185932 128415
08:27:13:9205933 128416
08:27:13:9235935 128418
08:27:13:9265937 128419
08:27:13:9285938 128420
08:27:13:9325940 128423
08:27:13:9445947 128424
08:27:13:9475949 128429
08:27:13:9515951 128435
08:27:13:9545953 128437
08:27:13:9575954 128439
08:27:13:9595955 128440
08:27:13:9645958 128451
08:27:13:9675960 128452
08:27:13:9705962 128455
08:27:13:9735963 128459
08:27:13:9765965 128461
08:27:13:9805967 128466
08:27:13:9835969 128468
08:27:13:9855970 128469
08:27:13:9885972 128471
08:27:13:9915974 128472
08:27:13:9955976 128474
08:27:13:9985978 128477
08:27:14:0065982 128478
08:27:14:0095984 128481
08:27:14:0115985 128483
08:27:14:0165988 128484
08:27:14:0195990 128488
08:27:14:0235992 128489
08:27:14:0265994 128490
08:27:14:0295996 128491
08:27:14:0325997 128494
08:27:14:0355999 128498
08:27:14:0396001 128500
08:27:14:0426003 128502
08:27:14:0456005 128503
08:27:14:0486006 128522
08:27:14:0516008 128523
08:27:14:0716020 128526
08:27:14:0746021 128536
08:27:14:0776023 128538
08:27:14:0806025 128539
08:27:14:0836026 128540
